title,beginPlace,reason,reasonDetail,content,beginAt,expectedEndAt,endAt,note,category.name,coordinates
災害による通行規制,大野市小谷堂（岐阜県境）,その他,岐阜県側での災害のため,全面通行止,20250425160000,,,令和6年11月29日(金)16:00より冬期間通行止としていますが、令和7年4月25日(金)16:00より本区間の規制理由を岐阜県側での災害のために変更し、通行止を継続します。,全面通行止,"[[35.960260000000005, 136.74964], [35.960240000000006, 136.74955], [35.96016, 136.74939], [35.96003, 136.74918000000002], [35.959950000000006, 136.74913], [35.95964, 136.74900000000002], [35.95931, 136.74889000000002], [35.95788, 136.74869], [35.956700000000005, 136.74863000000002], [35.956300000000006, 136.74856], [35.956100000000006, 136.74847], [35.95586, 136.74833], [35.95566, 136.74810000000002], [35.954860000000004, 136.7468], [35.95474, 136.74658000000002], [35.95468, 136.74654], [35.954550000000005, 136.74647000000002], [35.95447, 136.74646], [35.9544, 136.74648000000002], [35.95393, 136.74669], [35.953880000000005, 136.74672], [35.953630000000004, 136.74668], [35.95322, 136.74669], [35.95268, 136.74671], [35.95232, 136.7467], [35.95196, 136.7467], [35.951820000000005, 136.74668], [35.95161, 136.74652], [35.951530000000005, 136.74646], [35.951420000000006, 136.74639000000002], [35.9513, 136.74625], [35.951240000000006, 136.74613000000002], [35.951170000000005, 136.74583], [35.95102, 136.74527], [35.950990000000004, 136.74514000000002], [35.951, 136.74497000000002], [35.95105, 136.7448], [35.95107, 136.74466], [35.951060000000005, 136.74454], [35.951010000000004, 136.74434000000002], [35.950950000000006, 136.74390000000002], [35.95091, 136.74368], [35.950860000000006, 136.74356], [35.95078, 136.74346], [35.95035, 136.74274], [35.95017, 136.74243], [35.950120000000005, 136.74234], [35.95008, 136.74217000000002], [35.95004, 136.74185], [35.950010000000006, 136.74103000000002], [35.94999, 136.74062], [35.94997, 136.74053], [35.9499, 136.74040000000002], [35.94986, 136.74034], [35.949720000000006, 136.74006], [35.94957, 136.73949000000002], [35.949510000000004, 136.73940000000002], [35.949400000000004, 136.73933000000002], [35.94917, 136.7392], [35.94914, 136.73913000000002], [35.949180000000005, 136.7389], [35.94917, 136.73865], [35.94919, 136.73855], [35.949180000000005, 136.73847], [35.9491, 136.7383], [35.94903, 136.73815000000002], [35.948980000000006, 136.73793], [35.94895, 136.73771000000002], [35.94887, 136.73751000000001], [35.94874, 136.73715], [35.9485, 136.73675], [35.94809, 136.73628000000002], [35.947950000000006, 136.73612], [35.94785, 136.73608000000002], [35.94749, 136.73612], [35.94737000000001, 136.73612], [35.94731, 136.73609000000002], [35.94717, 136.73596], [35.947030000000005, 136.73571], [35.94695, 136.73549], [35.94691, 136.73521000000002], [35.946940000000005, 136.73506], [35.947030000000005, 136.73491], [35.94726, 136.73464], [35.94767, 136.73418], [35.94782, 136.73406], [35.94787, 136.734], [35.947900000000004, 136.73388], [35.94784000000001, 136.73368000000002], [35.947720000000004, 136.73341000000002], [35.94764, 136.73295000000002], [35.9476, 136.73283], [35.94753, 136.73273], [35.947410000000005, 136.73268000000002], [35.947230000000005, 136.73265], [35.946870000000004, 136.73262], [35.94679, 136.73258], [35.94673, 136.73247], [35.94655, 136.73208000000002], [35.946220000000004, 136.73158], [35.946110000000004, 136.73139], [35.94603, 136.73121], [35.94599, 136.73106], [35.94595, 136.73076], [35.94596, 136.73045000000002], [35.94599, 136.73026000000002], [35.946070000000006, 136.73003], [35.94623, 136.72976], [35.94662, 136.72923], [35.94709, 136.72862], [35.94736, 136.72836], [35.94756, 136.72824], [35.94787, 136.7281], [35.94821, 136.72796000000002], [35.9484, 136.72778000000002], [35.94847, 136.72769000000002], [35.94859, 136.72748], [35.94868, 136.72718], [35.9487, 136.72695000000002], [35.9487, 136.72684], [35.948690000000006, 136.72671], [35.94863, 136.72648], [35.948130000000006, 136.72496], [35.94794, 136.72439], [35.94791, 136.72407], [35.94793, 136.72382000000002], [35.94807, 136.72329000000002], [35.948190000000004, 136.723], [35.94839, 136.72263], [35.94854, 136.72225], [35.94854, 136.72212000000002], [35.94845, 136.72139], [35.94841, 136.72097000000002], [35.94841, 136.72083], [35.94847, 136.72066], [35.94854, 136.72055], [35.94867, 136.7204], [35.94886, 136.72031], [35.94905, 136.72028], [35.94948, 136.72024000000002], [35.94973, 136.72019], [35.94986, 136.72013], [35.94997, 136.72004], [35.95008, 136.71985], [35.95018, 136.71949], [35.95022, 136.71912], [35.950190000000006, 136.71893], [35.950140000000005, 136.71882000000002], [35.95006, 136.71869], [35.94991, 136.7184], [35.94975, 136.71776], [35.94953, 136.71722], [35.949400000000004, 136.71692000000002], [35.94934, 136.71655], [35.94928, 136.71557], [35.94932, 136.71485], [35.94932, 136.71448], [35.94924, 136.71401], [35.94919, 136.71345000000002], [35.9491, 136.71145], [35.949040000000004, 136.71085000000002], [35.948890000000006, 136.71019], [35.948800000000006, 136.70987000000002], [35.948690000000006, 136.70959000000002], [35.948280000000004, 136.70879000000002], [35.948150000000005, 136.70860000000002], [35.947900000000004, 136.70835000000002], [35.94774, 136.70818], [35.94758, 136.70798000000002], [35.94755, 136.70793]]"
災害による通行規制,大野市上小池,災害,山腹崩壊のため,全面通行止,20221106160000,,,令和4年11月6日より冬期間通行止めを実施していましたが、災害による通行止めに切り替えます。,全面通行止,"[[36.06615, 136.71531000000002], [36.065830000000005, 136.71502], [36.06566, 136.71496000000002], [36.06544, 136.71492], [36.06521, 136.71479000000002], [36.06514, 136.71475], [36.06497, 136.71471000000003], [36.06476, 136.71465], [36.064690000000006, 136.71464], [36.06456, 136.71466], [36.06447, 136.71469000000002], [36.0642, 136.71486000000002], [36.063990000000004, 136.71494], [36.06367, 136.71503], [36.06349, 136.71503], [36.063340000000004, 136.71497000000002], [36.06324, 136.71488000000002], [36.063050000000004, 136.71465], [36.062830000000005, 136.71451000000002], [36.06241, 136.7142], [36.06226, 136.71411], [36.06188, 136.71404], [36.061620000000005, 136.71395], [36.061400000000006, 136.71382], [36.06123, 136.71369], [36.06114, 136.71365], [36.060970000000005, 136.71361000000002], [36.060840000000006, 136.7136], [36.06072, 136.71363000000002], [36.06053, 136.71371000000002], [36.06045, 136.71376], [36.06036, 136.71385], [36.060280000000006, 136.71397000000002], [36.06025, 136.71408000000002], [36.06022, 136.71454], [36.060210000000005, 136.71478000000002], [36.06017000000001, 136.71496000000002], [36.060140000000004, 136.71502], [36.060080000000006, 136.71509], [36.05988, 136.71516], [36.059340000000006, 136.71524000000002], [36.059200000000004, 136.71529], [36.05915, 136.71532000000002], [36.058930000000004, 136.71562], [36.058670000000006, 136.71593000000001], [36.05843, 136.71616], [36.05823, 136.71622000000002], [36.058130000000006, 136.71628], [36.057900000000004, 136.71647000000002], [36.05783, 136.71647000000002], [36.05773000000001, 136.71647000000002], [36.057660000000006, 136.71656000000002], [36.0576, 136.71668000000003], [36.057480000000005, 136.71673], [36.057390000000005, 136.71675000000002], [36.05729, 136.7168], [36.057050000000004, 136.71698], [36.05671, 136.71732], [36.056630000000006, 136.71741], [36.05648, 136.71753], [36.056360000000005, 136.71756000000002], [36.05622, 136.71756000000002], [36.056050000000006, 136.71753], [36.05576000000001, 136.71728000000002], [36.05565, 136.71719000000002], [36.055440000000004, 136.71711000000002], [36.055260000000004, 136.71708], [36.055170000000004, 136.71710000000002], [36.05507, 136.71717], [36.05501, 136.71717], [36.054930000000006, 136.71713], [36.05478, 136.71702000000002], [36.054660000000005, 136.71686000000003], [36.054520000000004, 136.71669], [36.054370000000006, 136.71655], [36.05425, 136.71639000000002], [36.054170000000006, 136.71619], [36.054080000000006, 136.71607], [36.05393, 136.71595000000002], [36.05369, 136.71574], [36.053580000000004, 136.71568000000002], [36.053520000000006, 136.71560000000002], [36.053470000000004, 136.71537], [36.05337, 136.71499], [36.05322, 136.71462000000002], [36.05306, 136.71411], [36.05299, 136.71361000000002], [36.05297, 136.71334000000002], [36.053000000000004, 136.71289000000002], [36.05303, 136.71237000000002], [36.05306, 136.71222], [36.05313, 136.71202000000002], [36.05315, 136.71167], [36.05315, 136.71131], [36.053110000000004, 136.71095000000003], [36.053050000000006, 136.71078], [36.05292, 136.71057000000002], [36.05283, 136.71036], [36.052800000000005, 136.71018], [36.052800000000005, 136.71], [36.05284, 136.70982], [36.0529, 136.70971], [36.05321, 136.70951000000002], [36.05341, 136.70935], [36.053630000000005, 136.70907], [36.053810000000006, 136.70883], [36.05391, 136.70873], [36.05407, 136.70860000000002], [36.054320000000004, 136.70838], [36.054370000000006, 136.70836], [36.05449, 136.70834000000002], [36.05485, 136.7084], [36.05492, 136.70839], [36.054970000000004, 136.70831], [36.05505, 136.70815000000002], [36.055200000000006, 136.70792], [36.05529000000001, 136.70773], [36.055350000000004, 136.70763000000002], [36.05543, 136.70758], [36.055600000000005, 136.70758], [36.055730000000004, 136.70761000000002], [36.05579, 136.70762000000002], [36.055820000000004, 136.70759], [36.055820000000004, 136.70753000000002], [36.05577, 136.70747], [36.05559, 136.70744000000002], [36.05539, 136.70743000000002], [36.055330000000005, 136.70745000000002], [36.05529000000001, 136.70749], [36.05516, 136.70767], [36.05487, 136.70799000000002], [36.05482, 136.70801], [36.05472, 136.70794], [36.054640000000006, 136.70789000000002], [36.054520000000004, 136.70789000000002], [36.053920000000005, 136.70795], [36.05386, 136.708], [36.053740000000005, 136.70822], [36.053630000000005, 136.70838], [36.053470000000004, 136.70851000000002], [36.053270000000005, 136.70862000000002], [36.05288, 136.70881], [36.052760000000006, 136.70889000000003], [36.052690000000005, 136.70889000000003], [36.05266, 136.70884], [36.052670000000006, 136.70876], [36.05274, 136.70870000000002], [36.05304, 136.70857], [36.05341, 136.70838], [36.053520000000006, 136.70823000000001], [36.053610000000006, 136.70805000000001], [36.05377, 136.70763000000002], [36.053810000000006, 136.70756], [36.05386, 136.70753000000002], [36.05391, 136.70753000000002], [36.054100000000005, 136.70757], [36.054170000000006, 136.70755], [36.0542, 136.7075], [36.054190000000006, 136.70742], [36.054140000000004, 136.70736000000002], [36.054050000000004, 136.70733], [36.05375, 136.70724], [36.05357, 136.70715], [36.053520000000006, 136.70716000000002], [36.053450000000005, 136.70725000000002], [36.05341, 136.70736000000002], [36.053430000000006, 136.70757], [36.053450000000005, 136.70768], [36.053430000000006, 136.70775], [36.05335, 136.70796], [36.05324, 136.70812], [36.0531, 136.70823000000001], [36.053020000000004, 136.70829], [36.052890000000005, 136.70832000000001], [36.052730000000004, 136.7083], [36.052400000000006, 136.70816000000002], [36.052310000000006, 136.70814000000001], [36.05207, 136.70821], [36.05185, 136.7083], [36.05169, 136.70838], [36.051640000000006, 136.70843000000002], [36.051610000000004, 136.70852000000002], [36.051610000000004, 136.70861000000002], [36.05167, 136.70872], [36.05169, 136.70879000000002], [36.05169, 136.70894], [36.05165, 136.70917], [36.0516, 136.70941000000002], [36.05158, 136.7098], [36.05158, 136.71008], [36.051610000000004, 136.71039000000002], [36.051640000000006, 136.71073], [36.051640000000006, 136.71089], [36.05162, 136.71096], [36.051570000000005, 136.71099], [36.05153, 136.71098], [36.05142, 136.71074000000002], [36.05096, 136.70929], [36.050830000000005, 136.70891], [36.05078, 136.70885], [36.050630000000005, 136.70876], [36.05051, 136.70879000000002], [36.05019, 136.70894], [36.04995, 136.70904000000002], [36.04981, 136.70901], [36.049670000000006, 136.7089], [36.049490000000006, 136.70869000000002], [36.049420000000005, 136.70850000000002], [36.04941, 136.70823000000001], [36.04937, 136.70767], [36.049440000000004, 136.7074], [36.049530000000004, 136.7073], [36.04957, 136.70725000000002], [36.04961, 136.70712], [36.04959, 136.70699000000002], [36.049490000000006, 136.70683000000002], [36.04934, 136.70655000000002], [36.049130000000005, 136.70616], [36.04903, 136.70585], [36.04899, 136.70555000000002], [36.04903, 136.70533], [36.04927, 136.70459000000002], [36.04927, 136.70438000000001], [36.049130000000005, 136.70383], [36.04898, 136.70347], [36.048930000000006, 136.70339], [36.04876, 136.70311], [36.048080000000006, 136.70179000000002], [36.04787, 136.70146], [36.047830000000005, 136.70136000000002], [36.0478, 136.7012], [36.047810000000005, 136.70089000000002], [36.04782, 136.70057], [36.04778, 136.70038000000002], [36.047720000000005, 136.70028000000002], [36.047610000000006, 136.70019000000002], [36.04749, 136.70001000000002], [36.04739, 136.69946000000002], [36.04728, 136.69923], [36.04703, 136.69891], [36.0469, 136.69878], [36.046800000000005, 136.69872], [36.04661, 136.69867000000002], [36.046380000000006, 136.69863], [36.04596, 136.69855], [36.045820000000006, 136.69847000000001], [36.04576, 136.69841000000002], [36.045440000000006, 136.69793], [36.04527, 136.69775], [36.045010000000005, 136.69750000000002], [36.044740000000004, 136.69729], [36.04455, 136.69715000000002], [36.044430000000006, 136.69712], [36.04435, 136.69713000000002], [36.04417, 136.69716000000003], [36.04402, 136.69712], [36.04384, 136.69699], [36.04365, 136.69676], [36.04345, 136.69661000000002], [36.04323, 136.69648], [36.04308, 136.69646], [36.042950000000005, 136.69645], [36.04285, 136.69641000000001], [36.042790000000004, 136.69633000000002], [36.04258, 136.69590000000002], [36.04233, 136.6954], [36.04189, 136.69471000000001], [36.041470000000004, 136.69418000000002], [36.04111, 136.69385], [36.040490000000005, 136.69330000000002], [36.040440000000004, 136.69326], [36.040350000000004, 136.69320000000002], [36.040200000000006, 136.69302000000002], [36.04012, 136.69293000000002], [36.040020000000005, 136.69287], [36.03985, 136.6928], [36.03972, 136.69262], [36.03951, 136.69231000000002], [36.03924, 136.69197], [36.038850000000004, 136.69151000000002], [36.03873, 136.69134000000003], [36.03871, 136.69128], [36.03871, 136.69119], [36.038900000000005, 136.69087000000002], [36.03898, 136.69073], [36.038970000000006, 136.69065], [36.03889, 136.69053000000002], [36.03877, 136.69036], [36.0384, 136.68988000000002], [36.03826, 136.68959], [36.03783, 136.68838000000002], [36.037440000000004, 136.68727], [36.0373, 136.68686000000002], [36.03725, 136.68678], [36.03707, 136.6866], [36.036880000000004, 136.68647], [36.03663, 136.68618], [36.03651, 136.68595000000002], [36.036440000000006, 136.68578000000002], [36.03631, 136.68549000000002], [36.03623, 136.68537], [36.036030000000004, 136.68499], [36.03593, 136.68473], [36.03578, 136.68445], [36.035720000000005, 136.68437], [36.035650000000004, 136.68433000000002], [36.03537, 136.68425000000002], [36.03495, 136.6841], [36.03481, 136.68394], [36.03464, 136.68369], [36.034330000000004, 136.6832], [36.03408, 136.68281000000002], [36.03379, 136.68231], [36.03354, 136.68192000000002], [36.0334, 136.68178], [36.033240000000006, 136.6817], [36.03307, 136.68162], [36.0328, 136.68137000000002]]"
災害復旧工事による通行止めについて,南条郡南越前町広野,災害,,全面通行止,20250519090000,20250829170000,,,全面通行止,"[[35.72054, 136.27114], [35.720290000000006, 136.27127000000002], [35.720150000000004, 136.2714], [35.71996, 136.27162], [35.719770000000004, 136.27190000000002], [35.719640000000005, 136.27203], [35.719460000000005, 136.27217000000002], [35.71907, 136.27239], [35.71902, 136.27246000000002], [35.719010000000004, 136.27254000000002], [35.71904, 136.27268], [35.719080000000005, 136.27272000000002], [35.719170000000005, 136.27278], [35.71941, 136.27280000000002], [35.719930000000005, 136.27285], [35.72007, 136.27292], [35.72019, 136.27301], [35.72028, 136.27314], [35.72037, 136.27341], [35.72039, 136.27382], [35.72036, 136.27424000000002], [35.72034, 136.2744], [35.7203, 136.27453], [35.720200000000006, 136.27472], [35.72008, 136.27489], [35.719930000000005, 136.27504000000002], [35.719800000000006, 136.2751], [35.719660000000005, 136.27513000000002], [35.71949, 136.27513000000002], [35.71927, 136.27512000000002], [35.718970000000006, 136.27505000000002], [35.718720000000005, 136.27496000000002], [35.71858, 136.27503000000002]]"
トンネル補修工事における全面通行止めについて,南条郡南越前町山中,工事,,全面通行止,20250519090000,20251112170000,,土、日、夜間開放,全面通行止,"[[35.76451, 136.1183], [35.761030000000005, 136.11437], [35.76023, 136.11347], [35.75967, 136.11292], [35.759100000000004, 136.11222], [35.75892, 136.11199000000002], [35.758770000000005, 136.11187], [35.758610000000004, 136.11175], [35.75815, 136.11141], [35.758, 136.1113], [35.75762, 136.11116], [35.757360000000006, 136.11110000000002], [35.75712, 136.11108000000002], [35.75694, 136.11108000000002], [35.756220000000006, 136.11115], [35.755810000000004, 136.11123]]"
落石による通行規制,小浜市飯盛,落石,,全面通行止,20250627190000,,,,全面通行止,"[[35.488530000000004, 135.69528000000003], [35.488760000000006, 135.69573], [35.48888, 135.69588000000002], [35.48901, 135.69598000000002], [35.489070000000005, 135.696], [35.489230000000006, 135.69603], [35.489560000000004, 135.69605], [35.48991, 135.69608000000002], [35.49007, 135.69613], [35.49025, 135.69622], [35.49074, 135.6964], [35.49082, 135.69646], [35.49091, 135.69659000000001], [35.491060000000004, 135.69693], [35.491060000000004, 135.69706000000002], [35.491020000000006, 135.69729], [35.491040000000005, 135.69739], [35.491170000000004, 135.69773], [35.49123, 135.69804000000002], [35.49123, 135.69826], [35.491310000000006, 135.69862], [35.49132, 135.69869], [35.49137, 135.69882], [35.4915, 135.69905], [35.49163, 135.69920000000002], [35.491760000000006, 135.69933], [35.49186, 135.69948000000002], [35.492020000000004, 135.69971], [35.49212, 135.69992000000002], [35.492200000000004, 135.70003], [35.49241, 135.7003], [35.492490000000004, 135.70047000000002], [35.49259, 135.70065000000002], [35.492610000000006, 135.70074000000002], [35.4926, 135.70083000000002], [35.492560000000005, 135.70089000000002], [35.492340000000006, 135.70089000000002], [35.49228, 135.70088], [35.492160000000005, 135.70091000000002], [35.492000000000004, 135.70103], [35.4917, 135.70132], [35.491260000000004, 135.70151], [35.49116, 135.70151], [35.491040000000005, 135.70148], [35.490880000000004, 135.7014], [35.490770000000005, 135.7013], [35.49044, 135.70101000000003], [35.49033, 135.70096], [35.490100000000005, 135.70095], [35.4898, 135.70101000000003], [35.48968, 135.70106], [35.48959, 135.70116000000002], [35.489320000000006, 135.70173], [35.489160000000005, 135.7021], [35.48899, 135.70275], [35.48879, 135.70323000000002], [35.48861, 135.70358000000002], [35.488350000000004, 135.7039], [35.488260000000004, 135.70403000000002], [35.48821, 135.70422000000002], [35.48825, 135.70450000000002], [35.488350000000004, 135.70485000000002], [35.488440000000004, 135.70509], [35.48857, 135.7055], [35.48859, 135.70571], [35.48861, 135.70612], [35.48865, 135.70636000000002], [35.488710000000005, 135.70647000000002], [35.4889, 135.70676], [35.489000000000004, 135.70694], [35.489160000000005, 135.70733], [35.48917, 135.70748], [35.48913, 135.70759], [35.48901, 135.70768], [35.48859, 135.70790000000002], [35.48845, 135.708], [35.488200000000006, 135.70822], [35.487950000000005, 135.70853000000002], [35.4876, 135.70897000000002], [35.48733, 135.70925], [35.487170000000006, 135.70937], [35.486920000000005, 135.70953], [35.48657, 135.70983], [35.48637, 135.70996000000002], [35.4861, 135.71004000000002], [35.48594, 135.71005000000002]]"
落石による通行規制,小浜市飯盛,落石,,全面通行止,20250627190000,,,,全面通行止,"[[35.48926, 135.69603], [35.489560000000004, 135.69605], [35.48991, 135.69608000000002], [35.49007, 135.69613], [35.49025, 135.69622], [35.49074, 135.6964], [35.49082, 135.69646], [35.49091, 135.69659000000001], [35.491060000000004, 135.69693], [35.491060000000004, 135.69706000000002], [35.491020000000006, 135.69729], [35.491040000000005, 135.69739], [35.491170000000004, 135.69773], [35.49123, 135.69804000000002], [35.49123, 135.69826], [35.491310000000006, 135.69862], [35.49132, 135.69869], [35.49137, 135.69882], [35.4915, 135.69905], [35.49163, 135.69920000000002], [35.491760000000006, 135.69933], [35.49186, 135.69948000000002], [35.492020000000004, 135.69971], [35.49212, 135.69992000000002], [35.492200000000004, 135.70003], [35.49241, 135.7003], [35.492490000000004, 135.70047000000002], [35.49259, 135.70065000000002], [35.492610000000006, 135.70074000000002], [35.4926, 135.70083000000002], [35.492560000000005, 135.70089000000002], [35.492340000000006, 135.70089000000002], [35.49228, 135.70088], [35.492160000000005, 135.70091000000002], [35.492000000000004, 135.70103], [35.4917, 135.70132], [35.491260000000004, 135.70151], [35.49116, 135.70151], [35.491040000000005, 135.70148], [35.490880000000004, 135.7014], [35.490770000000005, 135.7013], [35.49044, 135.70101000000003], [35.49033, 135.70096], [35.490100000000005, 135.70095], [35.4898, 135.70101000000003], [35.48968, 135.70106], [35.48959, 135.70116000000002], [35.489320000000006, 135.70173], [35.489160000000005, 135.7021], [35.48899, 135.70275], [35.48879, 135.70323000000002], [35.48861, 135.70358000000002], [35.488350000000004, 135.7039], [35.488260000000004, 135.70403000000002], [35.48821, 135.70422000000002], [35.48825, 135.70450000000002], [35.488350000000004, 135.70485000000002], [35.488440000000004, 135.70509], [35.48857, 135.7055], [35.48859, 135.70571], [35.48861, 135.70612], [35.48865, 135.70636000000002], [35.488710000000005, 135.70647000000002], [35.4889, 135.70676], [35.489000000000004, 135.70694], [35.489160000000005, 135.70733], [35.48917, 135.70748], [35.48913, 135.70759], [35.48901, 135.70768], [35.48859, 135.70790000000002], [35.48845, 135.708], [35.488200000000006, 135.70822], [35.487950000000005, 135.70853000000002], [35.4876, 135.70897000000002], [35.48733, 135.70925], [35.487170000000006, 135.70937], [35.486920000000005, 135.70953], [35.48657, 135.70983], [35.48637, 135.70996000000002], [35.4861, 135.71004000000002], [35.48584, 135.71004000000002], [35.48566, 135.71], [35.485420000000005, 135.7099], [35.48532, 135.7099]]"
トンネル補修工事に伴う通行止め,大飯郡高浜町神野,工事,トンネル盤ぶくれ対策工事に伴う,全面通行止,20250324080000,,,,全面通行止,"[[35.51735, 135.49752], [35.517100000000006, 135.49782000000002], [35.516870000000004, 135.49805], [35.51677, 135.49812], [35.516670000000005, 135.49818000000002], [35.516510000000004, 135.49832], [35.51615, 135.49862000000002], [35.515980000000006, 135.49874], [35.515620000000006, 135.49886], [35.515330000000006, 135.49894], [35.515100000000004, 135.49896], [35.51469, 135.49898000000002], [35.514160000000004, 135.49902], [35.51397, 135.49903], [35.51381, 135.49899000000002], [35.51362, 135.49893], [35.513510000000004, 135.49890000000002], [35.51342, 135.49891000000002], [35.513090000000005, 135.49895], [35.51274, 135.49901], [35.51239, 135.49915000000001], [35.512040000000006, 135.49927000000002], [35.51118, 135.49958], [35.5079, 135.50073], [35.50768, 135.5008], [35.507560000000005, 135.50087000000002], [35.50726, 135.50117], [35.506980000000006, 135.50157000000002], [35.5069, 135.50174], [35.506890000000006, 135.50201], [35.50688, 135.50229000000002], [35.506820000000005, 135.50272]]"
橋梁架け替え工事に伴う通行規制,小浜市一番町,工事,大手橋架け替え工事に伴う車両通行止め,全面通行止,20220716060000,,,"・徒歩・自転車での通行については仮歩道橋を利用することにより通り抜け可能です。
・迂回路等の詳細については下記URLを参照ください。
URL：https://www.pref.fukui.lg.jp/doc/obama-doboku/douro/nishiduoote.html",全面通行止,"[[35.5017, 135.74672], [35.50233, 135.7469], [35.50302, 135.74706]]"
橋梁架け替え工事に伴う通行規制,小浜市城内１丁目,工事,城内橋・西津橋架け替え工事に伴う車両通行止め,全面通行止,20220716060000,,,"・徒歩・自転車での通行については仮歩道橋を利用することにより通り抜け可能です。
・迂回路等の詳細については下記URLを参照ください。
URL：https://www.pref.fukui.lg.jp/doc/obama-doboku/douro/nishiduoote.html",全面通行止,"[[35.504090000000005, 135.74735], [35.50432, 135.74744], [35.504560000000005, 135.74756000000002], [35.50558, 135.74832]]"
(主)丸岡川西線(10)崩土箇所 仮設迂回路設置による片側交互通行,坂井市丸岡町川上,法面崩壊,,片側交互通行,20250404130000,,,"※仮設迂回路設置により片側交互通行に変更
",片側交互通行,"[[36.17956, 136.30404000000001], [36.179550000000006, 136.30372], [36.179590000000005, 136.30351000000002], [36.17972, 136.30314], [36.179840000000006, 136.30266], [36.179860000000005, 136.30248], [36.179860000000005, 136.30233], [36.17985, 136.30227000000002], [36.179790000000004, 136.30211], [36.17947, 136.3017], [36.17925, 136.30134], [36.17911, 136.30107], [36.17895, 136.30084000000002], [36.178810000000006, 136.30069], [36.17868, 136.30062], [36.17851, 136.30059], [36.17828, 136.30058000000002], [36.17815, 136.30055000000002], [36.17799, 136.30048000000002], [36.17783, 136.30036], [36.177760000000006, 136.30030000000002]]"
