evaspot_name,japanese_name,evaspot_kind_name,diskinds,evaspot_capacity,cities_name,cities_subdiv,cities_subarea_name,shelter_status_name,longitude,latitude,内水氾濫,土石流,地震,大規模な火事,崖崩れ・地滑り,津波,洪水,高潮
やすらぎ広場,やすらぎひろば,指定緊急避難場所,"[{'code': '6', 'name': '津波'}]",,福井市,福井市ﾃｸﾉﾎﾟｰﾄ,棗地区,常設,136.10263,36.151743,0,0,0,0,0,1,0,0
さわやか広場（北側）,さわやかひろば（きたがわ）,指定緊急避難場所,"[{'code': '6', 'name': '津波'}]",,福井市,福井市ﾃｸﾉﾎﾟｰﾄ,棗地区,常設,136.114675,36.163131,0,0,0,0,0,1,0,0
さわやか広場（南側）,さわやかひろば（みなみがわ）,指定緊急避難場所,"[{'code': '6', 'name': '津波'}]",,福井市,福井市ﾃｸﾉﾎﾟｰﾄ,棗地区,常設,136.112492,36.160454,0,0,0,0,0,1,0,0
グリーンハイツ1号公園,ぐりーんはいついちごうこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",409,福井市,福井市ｸﾞﾘｰﾝﾊｲﾂ1丁目,清水北地区,常設,136.161305,36.045267,0,1,1,0,0,0,0,0
昭和町公園,しょうわまちこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",1241,福井市,福井市みのり1丁目14,木田地区,常設,136.215733,36.048674,0,0,1,0,0,0,0,0
グリーンハイツ2号公園,ぐりーんはいつにごうこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",885,福井市,福井市ｸﾞﾘｰﾝﾊｲﾂ2丁目,清水北地区,常設,136.160436,36.044523,0,0,1,0,0,0,1,0
みのり２丁目公園,みのりにちょうめこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",639,福井市,福井市みのり2丁目11,豊地区,常設,136.213421,36.049324,0,1,1,0,0,0,0,0
つくも公園,つくもこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",783,福井市,福井市つくも2丁目9,足羽地区,未開設,136.209408,36.062873,0,1,1,0,0,0,0,0
豊公民館,みのりこうみんかん,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",126,福井市,福井市みのり3丁目106-8,豊地区,未開設,136.208065,36.050774,0,0,1,0,0,0,1,0
みのり中央公園,みのりちゅうおうこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",741,福井市,福井市みのり3丁目24,豊地区,常設,136.209762,36.049108,0,1,1,0,0,0,0,0
パークアベニューみのり公園,ぱーくあべにゅーみのりこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",984,福井市,福井市みのり3丁目38,豊地区,常設,136.210545,36.051346,0,1,1,0,0,0,0,0
みのり4丁目公園,みのりよんちょうめこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",1753,福井市,福井市みのり4丁目7,豊地区,常設,136.205192,36.049463,0,1,1,0,0,0,0,0
清水北小学校,しみずきたしょうがっこう,指定避難所,"[{'code': '5', 'name': '地震'}]",450,福井市,福井市ｸﾞﾘｰﾝﾊｲﾂ5丁目101,清水北地区,未開設,136.164438,36.042677,0,0,1,0,0,0,0,0
清水北公民館,しみずきたこうみんかん,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",153,福井市,福井市ｸﾞﾘｰﾝﾊｲﾂ5丁目131,清水北地区,未開設,136.164669,36.041508,0,1,1,0,0,0,1,0
グリーンハイツ3号公園,ぐりーんはいつさんごうこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",836,福井市,福井市ｸﾞﾘｰﾝﾊｲﾂ9丁目,清水北地区,常設,136.168638,36.040363,0,1,1,0,0,0,1,0
福井刑務所錬成館,ふくいけいむしょれんせいかん,指定避難所,"[{'code': '5', 'name': '地震'}]",148,福井市,福井市一本木町,木田地区,未開設,136.225886,36.052486,0,0,1,0,0,0,0,0
立花公園,たちばなこうえん,指定緊急避難場所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",728,福井市,福井市三十八社町709,麻生津地区,常設,136.187435,35.999553,0,1,1,0,0,0,1,0
三ツ屋公園,みつやこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",1050,福井市,福井市三ﾂ屋2丁目302,西藤島地区,常設,136.191984,36.085393,0,1,1,0,0,0,0,0
福井県立武道館,ふくいけんりつぶどうかん,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",2355,福井市,福井市三ﾂ屋町8-1-1,西藤島地区,未開設,136.194536,36.084898,0,1,1,0,0,0,1,0
清水東公民館,しみずひがしこうみんかん,指定避難所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",91,福井市,福井市三留町14-11-1,清水東地区,未開設,136.152302,36.037183,0,1,1,0,0,0,0,0
清水東小学校,しみずひがししょうがっこう,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",348,福井市,福井市三留町69-2,清水東地区,未開設,136.153806,36.037602,0,1,1,0,0,0,1,0
西藤島公民館,にしふじしまこうみんかん,指定避難所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",128,福井市,福井市三郎丸1丁目1410,西藤島地区,未開設,136.193544,36.079782,0,1,1,0,0,0,0,0
西藤島小学校,にしふじしましょうがっこう,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",366,福井市,福井市三郎丸1丁目1410,西藤島地区,未開設,136.193544,36.079782,0,1,1,0,0,0,1,0
西藤島保育園,にしふじしまほいくえん,指定避難所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",167,福井市,福井市三郎丸1丁目1414,西藤島地区,未開設,136.193939,36.079501,0,1,1,0,0,0,0,0
三郎丸公園,さぶろうまるこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",1113,福井市,福井市三郎丸1丁目801,西藤島地区,常設,136.193036,36.077338,0,1,1,0,0,0,0,0
祇王公園,ぎおうこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",1306,福井市,福井市三郎丸2丁目2501,西藤島地区,常設,136.191566,36.080034,0,1,1,0,0,0,0,0
薬師公園,やくしこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",1340,福井市,福井市三郎丸2丁目501,西藤島地区,常設,136.18765,36.077355,0,1,1,0,0,0,0,0
小鳩公園,こばとこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",542,福井市,福井市三郎丸4丁目403,西藤島地区,常設,136.19486,36.083537,0,1,1,0,0,0,0,0
三郎丸団地公園,さぶろうまるだんちこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",262,福井市,福井市三郎丸町28字1-38,西藤島地区,常設,136.192982,36.082115,0,1,1,0,0,0,0,0
上中三谷公園,かみなかみたにこうえん,指定緊急避難場所,"[{'code': '3', 'name': '土石流'}, {'code': '5', 'name': '地震'}]",66,福井市,福井市上中町28字1番20,東藤島地区,常設,136.269744,36.083403,0,1,1,0,0,0,0,0
上六条公園,かみろくじょうこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",150,福井市,福井市上六条町18字49番5,六条地区,常設,136.246052,36.027145,0,0,1,0,0,0,0,0
西浜公園,にしはまこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",1336,福井市,福井市上北野1丁目21,和田地区,常設,136.249652,36.061927,0,0,1,0,0,0,0,0
上北野保育園,かみきたのほいくえん,指定避難所,"[{'code': '5', 'name': '地震'}]",156,福井市,福井市上北野1丁目22-46,和田地区,未開設,136.250209,36.06213,0,0,1,0,0,0,0,0
上北野橘公園,かみきたのたちばなこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",162,福井市,福井市上北野1丁目30,和田地区,常設,136.251465,36.061121,0,0,1,0,0,0,0,0
上北野公園,かみきたのこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",300,福井市,福井市上北野1丁目4,和田地区,常設,136.247914,36.062144,0,0,1,0,0,0,0,0
上北野西部桜公園,かみきたのせいぶさくらこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",102,福井市,福井市上北野2丁目205番,和田地区,常設,136.248241,36.060175,0,0,1,0,0,0,0,0
えのはた公園,えのはたこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",1111,福井市,福井市上森田1丁目201,森田地区,常設,136.227422,36.114524,0,0,1,0,0,0,0,0
亀田公園,かめだこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",875,福井市,福井市上森田2丁目601,森田地区,常設,136.230233,36.112587,0,0,1,0,0,0,0,0
ひえまき公園,ひえまきこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",755,福井市,福井市上森田3丁目1601,森田地区,常設,136.232035,36.110529,0,0,1,0,0,0,0,0
上森田公園,かみもりたこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",965,福井市,福井市上森田3丁目601,森田地区,常設,136.233156,36.113172,0,0,1,0,0,0,0,0
森田東保育園,もりたひがしほいくえん,指定避難所,"[{'code': '5', 'name': '地震'}]",109,福井市,福井市上森田4丁目302,森田地区,未開設,136.235168,36.113231,0,0,1,0,0,0,0,0
九頭竜公園,くずりゅうこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",1080,福井市,福井市上森田5丁目701,森田地区,常設,136.235093,36.109445,0,0,1,0,0,0,0,0
六条小学校,ろくじょうしょうがっこう,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",522,福井市,福井市上莇生田町5-16,六条地区,未開設,136.233056,36.026372,0,0,1,0,0,0,1,0
上野本町オレンジ公園,うえのほんまちおれんじこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",1098,福井市,福井市上野本町2丁目1101,森田地区,常設,136.240208,36.111167,0,0,1,0,0,0,0,0
森田中学校,もりたちゅうがっこう,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",885,福井市,福井市上野本町37-12,森田地区,未開設,136.237615,36.115865,0,0,1,0,0,0,1,0
上野本町さわやか公園,うえのほんまちさわやかこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",1250,福井市,福井市上野本町4丁目1701,森田地区,常設,136.246239,36.115378,0,0,1,0,0,0,0,0
上野団地３号公園,うえのだんちさんごうこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",160,福井市,福井市上野本町新815番外,森田地区,常設,136.242764,36.114173,0,0,1,0,0,0,0,0
一光小・中学校,いかりしょう・ちゅうがっこう,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",260,福井市,福井市下一光町6-34,一光地区,未開設,136.069557,36.061882,0,0,1,0,0,0,1,0
一光公民館,いかりこうみんかん,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '3', 'name': '土石流'}]",98,福井市,福井市下一光町6-5,一光地区,未開設,136.068369,36.062626,0,1,0,0,0,0,1,0
下中公園,しもなかこうえん,指定緊急避難場所,"[{'code': '5', 'name': '地震'}]",62,福井市,福井市下中町1字3番11,円山地区,常設,136.259321,36.07362,0,0,1,0,0,0,0,0
中小企業産業大学校,ちゅうしょうきぎょうさんぎょうだいがっこう,指定避難所,"[{'code': '2', 'name': '洪水'}, {'code': '5', 'name': '地震'}]",672,福井市,福井市下六条町16-15,六条地区,未開設,136.230909,36.035988,0,0,1,0,0,0,1,0
