title,beginPlace,reason,reasonDetail,content,beginAt,expectedEndAt,endAt,note,category.name,coordinates
旧布施田橋撤去工事による全面通行止,福井市布施田町,工事,,全面通行止,20241010090000,20250627170000,20240607120000,※旧布施田橋橋脚撤去・仮桟橋撤去,全面通行止,"[[36.14399, 136.1635], [36.14452, 136.16345], [36.144940000000005, 136.16348000000002], [36.145210000000006, 136.16346000000001], [36.14576, 136.16339000000002], [36.14582, 136.16336]]"
土砂崩れによる通行規制,大野市上半原,土砂崩れ,,全面通行止,20250318113000,,,"斜面の残雪がなくなり雪崩の危険性がなくなったため、令和7年4月24日(木)10:00より規制区間の一部を解除します（「大野市朝日～岐阜県境18.5km」→「大野市上半原～岐阜県境」3.6kmに短縮）。
なお、引き続き岐阜県への通り抜けは出来ません。",全面通行止,"[[35.87783659763027, 136.78186118602756], [35.87775, 136.78833], [35.87382, 136.79133], [35.8702, 136.81577]]"
災害による通行規制,大野市小谷堂（岐阜県境）,その他,岐阜県側での災害のため,全面通行止,20250425160000,,,令和6年11月29日(金)16:00より冬期間通行止としていますが、令和7年4月25日(金)16:00より本区間の規制理由を岐阜県側での災害のために変更し、通行止を継続します。,全面通行止,"[[35.960260000000005, 136.74964], [35.960240000000006, 136.74955], [35.96016, 136.74939], [35.96003, 136.74918000000002], [35.959950000000006, 136.74913], [35.95964, 136.74900000000002], [35.95931, 136.74889000000002], [35.95788, 136.74869], [35.956700000000005, 136.74863000000002], [35.956300000000006, 136.74856], [35.956100000000006, 136.74847], [35.95586, 136.74833], [35.95566, 136.74810000000002], [35.954860000000004, 136.7468], [35.95474, 136.74658000000002], [35.95468, 136.74654], [35.954550000000005, 136.74647000000002], [35.95447, 136.74646], [35.9544, 136.74648000000002], [35.95393, 136.74669], [35.953880000000005, 136.74672], [35.953630000000004, 136.74668], [35.95322, 136.74669], [35.95268, 136.74671], [35.95232, 136.7467], [35.95196, 136.7467], [35.951820000000005, 136.74668], [35.95161, 136.74652], [35.951530000000005, 136.74646], [35.951420000000006, 136.74639000000002], [35.9513, 136.74625], [35.951240000000006, 136.74613000000002], [35.951170000000005, 136.74583], [35.95102, 136.74527], [35.950990000000004, 136.74514000000002], [35.951, 136.74497000000002], [35.95105, 136.7448], [35.95107, 136.74466], [35.951060000000005, 136.74454], [35.951010000000004, 136.74434000000002], [35.950950000000006, 136.74390000000002], [35.95091, 136.74368], [35.950860000000006, 136.74356], [35.95078, 136.74346], [35.95035, 136.74274], [35.95017, 136.74243], [35.950120000000005, 136.74234], [35.95008, 136.74217000000002], [35.95004, 136.74185], [35.950010000000006, 136.74103000000002], [35.94999, 136.74062], [35.94997, 136.74053], [35.9499, 136.74040000000002], [35.94986, 136.74034], [35.949720000000006, 136.74006], [35.94957, 136.73949000000002], [35.949510000000004, 136.73940000000002], [35.949400000000004, 136.73933000000002], [35.94917, 136.7392], [35.94914, 136.73913000000002], [35.949180000000005, 136.7389], [35.94917, 136.73865], [35.94919, 136.73855], [35.949180000000005, 136.73847], [35.9491, 136.7383], [35.94903, 136.73815000000002], [35.948980000000006, 136.73793], [35.94895, 136.73771000000002], [35.94887, 136.73751000000001], [35.94874, 136.73715], [35.9485, 136.73675], [35.94809, 136.73628000000002], [35.947950000000006, 136.73612], [35.94785, 136.73608000000002], [35.94749, 136.73612], [35.94737000000001, 136.73612], [35.94731, 136.73609000000002], [35.94717, 136.73596], [35.947030000000005, 136.73571], [35.94695, 136.73549], [35.94691, 136.73521000000002], [35.946940000000005, 136.73506], [35.947030000000005, 136.73491], [35.94726, 136.73464], [35.94767, 136.73418], [35.94782, 136.73406], [35.94787, 136.734], [35.947900000000004, 136.73388], [35.94784000000001, 136.73368000000002], [35.947720000000004, 136.73341000000002], [35.94764, 136.73295000000002], [35.9476, 136.73283], [35.94753, 136.73273], [35.947410000000005, 136.73268000000002], [35.947230000000005, 136.73265], [35.946870000000004, 136.73262], [35.94679, 136.73258], [35.94673, 136.73247], [35.94655, 136.73208000000002], [35.946220000000004, 136.73158], [35.946110000000004, 136.73139], [35.94603, 136.73121], [35.94599, 136.73106], [35.94595, 136.73076], [35.94596, 136.73045000000002], [35.94599, 136.73026000000002], [35.946070000000006, 136.73003], [35.94623, 136.72976], [35.94662, 136.72923], [35.94709, 136.72862], [35.94736, 136.72836], [35.94756, 136.72824], [35.94787, 136.7281], [35.94821, 136.72796000000002], [35.9484, 136.72778000000002], [35.94847, 136.72769000000002], [35.94859, 136.72748], [35.94868, 136.72718], [35.9487, 136.72695000000002], [35.9487, 136.72684], [35.948690000000006, 136.72671], [35.94863, 136.72648], [35.948130000000006, 136.72496], [35.94794, 136.72439], [35.94791, 136.72407], [35.94793, 136.72382000000002], [35.94807, 136.72329000000002], [35.948190000000004, 136.723], [35.94839, 136.72263], [35.94854, 136.72225], [35.94854, 136.72212000000002], [35.94845, 136.72139], [35.94841, 136.72097000000002], [35.94841, 136.72083], [35.94847, 136.72066], [35.94854, 136.72055], [35.94867, 136.7204], [35.94886, 136.72031], [35.94905, 136.72028], [35.94948, 136.72024000000002], [35.94973, 136.72019], [35.94986, 136.72013], [35.94997, 136.72004], [35.95008, 136.71985], [35.95018, 136.71949], [35.95022, 136.71912], [35.950190000000006, 136.71893], [35.950140000000005, 136.71882000000002], [35.95006, 136.71869], [35.94991, 136.7184], [35.94975, 136.71776], [35.94953, 136.71722], [35.949400000000004, 136.71692000000002], [35.94934, 136.71655], [35.94928, 136.71557], [35.94932, 136.71485], [35.94932, 136.71448], [35.94924, 136.71401], [35.94919, 136.71345000000002], [35.9491, 136.71145], [35.949040000000004, 136.71085000000002], [35.948890000000006, 136.71019], [35.948800000000006, 136.70987000000002], [35.948690000000006, 136.70959000000002], [35.948280000000004, 136.70879000000002], [35.948150000000005, 136.70860000000002], [35.947900000000004, 136.70835000000002], [35.94774, 136.70818], [35.94758, 136.70798000000002], [35.94755, 136.70793]]"
その他による通行規制,大野市東市布,その他,R158土砂崩れ,全面通行止,20250425150000,,,令和6年11月29日(金)15:00より冬期間通行止としていますが、令和7年3月18日付けで通知した大野市上半原における土砂崩れにより、一般国道158号の通り抜けが出来ないため、令和7年4月25日(金)15:00より本区間の規制理由をその他（R158土砂崩れ）に変更し、通行止を継続します。,全面通行止,"[[35.87032, 136.81574], [35.870490000000004, 136.81642000000002], [35.870610000000006, 136.81698], [35.87073, 136.81742], [35.87079, 136.81757000000002], [35.871010000000005, 136.81792000000002], [35.87154, 136.81873000000002], [35.87178, 136.81906], [35.87187, 136.81914], [35.872060000000005, 136.81921], [35.87214, 136.81922], [35.87227, 136.81916], [35.872640000000004, 136.81887], [35.87274, 136.81885], [35.87292, 136.81887], [35.87299, 136.81892000000002], [35.8733, 136.81922], [35.873580000000004, 136.81951], [35.873780000000004, 136.81961], [35.874100000000006, 136.81973000000002], [35.87426, 136.81986], [35.87429, 136.81995], [35.87427, 136.82017000000002], [35.87418, 136.82067], [35.874120000000005, 136.82088000000002], [35.874010000000006, 136.82111], [35.873740000000005, 136.82147], [35.87364, 136.82156], [35.873400000000004, 136.82177000000001], [35.8733, 136.8219], [35.87324, 136.82206000000002], [35.873020000000004, 136.82288], [35.87294, 136.82304000000002], [35.87281, 136.82321000000002], [35.8727, 136.82346], [35.87261, 136.82374000000002], [35.87259, 136.82389], [35.872600000000006, 136.82410000000002], [35.872640000000004, 136.82432], [35.87272, 136.8246], [35.87281, 136.82476], [35.87297, 136.82499], [35.8731, 136.82520000000002], [35.87315, 136.82531], [35.87323, 136.82569], [35.87332, 136.82609000000002]]"
災害による通行規制,大野市上小池,災害,山腹崩壊のため,全面通行止,20221106160000,,,令和4年11月6日より冬期間通行止めを実施していましたが、災害による通行止めに切り替えます。,全面通行止,"[[36.06615, 136.71531000000002], [36.065830000000005, 136.71502], [36.06566, 136.71496000000002], [36.06544, 136.71492], [36.06521, 136.71479000000002], [36.06514, 136.71475], [36.06497, 136.71471000000003], [36.06476, 136.71465], [36.064690000000006, 136.71464], [36.06456, 136.71466], [36.06447, 136.71469000000002], [36.0642, 136.71486000000002], [36.063990000000004, 136.71494], [36.06367, 136.71503], [36.06349, 136.71503], [36.063340000000004, 136.71497000000002], [36.06324, 136.71488000000002], [36.063050000000004, 136.71465], [36.062830000000005, 136.71451000000002], [36.06241, 136.7142], [36.06226, 136.71411], [36.06188, 136.71404], [36.061620000000005, 136.71395], [36.061400000000006, 136.71382], [36.06123, 136.71369], [36.06114, 136.71365], [36.060970000000005, 136.71361000000002], [36.060840000000006, 136.7136], [36.06072, 136.71363000000002], [36.06053, 136.71371000000002], [36.06045, 136.71376], [36.06036, 136.71385], [36.060280000000006, 136.71397000000002], [36.06025, 136.71408000000002], [36.06022, 136.71454], [36.060210000000005, 136.71478000000002], [36.06017000000001, 136.71496000000002], [36.060140000000004, 136.71502], [36.060080000000006, 136.71509], [36.05988, 136.71516], [36.059340000000006, 136.71524000000002], [36.059200000000004, 136.71529], [36.05915, 136.71532000000002], [36.058930000000004, 136.71562], [36.058670000000006, 136.71593000000001], [36.05843, 136.71616], [36.05823, 136.71622000000002], [36.058130000000006, 136.71628], [36.057900000000004, 136.71647000000002], [36.05783, 136.71647000000002], [36.05773000000001, 136.71647000000002], [36.057660000000006, 136.71656000000002], [36.0576, 136.71668000000003], [36.057480000000005, 136.71673], [36.057390000000005, 136.71675000000002], [36.05729, 136.7168], [36.057050000000004, 136.71698], [36.05671, 136.71732], [36.056630000000006, 136.71741], [36.05648, 136.71753], [36.056360000000005, 136.71756000000002], [36.05622, 136.71756000000002], [36.056050000000006, 136.71753], [36.05576000000001, 136.71728000000002], [36.05565, 136.71719000000002], [36.055440000000004, 136.71711000000002], [36.055260000000004, 136.71708], [36.055170000000004, 136.71710000000002], [36.05507, 136.71717], [36.05501, 136.71717], [36.054930000000006, 136.71713], [36.05478, 136.71702000000002], [36.054660000000005, 136.71686000000003], [36.054520000000004, 136.71669], [36.054370000000006, 136.71655], [36.05425, 136.71639000000002], [36.054170000000006, 136.71619], [36.054080000000006, 136.71607], [36.05393, 136.71595000000002], [36.05369, 136.71574], [36.053580000000004, 136.71568000000002], [36.053520000000006, 136.71560000000002], [36.053470000000004, 136.71537], [36.05337, 136.71499], [36.05322, 136.71462000000002], [36.05306, 136.71411], [36.05299, 136.71361000000002], [36.05297, 136.71334000000002], [36.053000000000004, 136.71289000000002], [36.05303, 136.71237000000002], [36.05306, 136.71222], [36.05313, 136.71202000000002], [36.05315, 136.71167], [36.05315, 136.71131], [36.053110000000004, 136.71095000000003], [36.053050000000006, 136.71078], [36.05292, 136.71057000000002], [36.05283, 136.71036], [36.052800000000005, 136.71018], [36.052800000000005, 136.71], [36.05284, 136.70982], [36.0529, 136.70971], [36.05321, 136.70951000000002], [36.05341, 136.70935], [36.053630000000005, 136.70907], [36.053810000000006, 136.70883], [36.05391, 136.70873], [36.05407, 136.70860000000002], [36.054320000000004, 136.70838], [36.054370000000006, 136.70836], [36.05449, 136.70834000000002], [36.05485, 136.7084], [36.05492, 136.70839], [36.054970000000004, 136.70831], [36.05505, 136.70815000000002], [36.055200000000006, 136.70792], [36.05529000000001, 136.70773], [36.055350000000004, 136.70763000000002], [36.05543, 136.70758], [36.055600000000005, 136.70758], [36.055730000000004, 136.70761000000002], [36.05579, 136.70762000000002], [36.055820000000004, 136.70759], [36.055820000000004, 136.70753000000002], [36.05577, 136.70747], [36.05559, 136.70744000000002], [36.05539, 136.70743000000002], [36.055330000000005, 136.70745000000002], [36.05529000000001, 136.70749], [36.05516, 136.70767], [36.05487, 136.70799000000002], [36.05482, 136.70801], [36.05472, 136.70794], [36.054640000000006, 136.70789000000002], [36.054520000000004, 136.70789000000002], [36.053920000000005, 136.70795], [36.05386, 136.708], [36.053740000000005, 136.70822], [36.053630000000005, 136.70838], [36.053470000000004, 136.70851000000002], [36.053270000000005, 136.70862000000002], [36.05288, 136.70881], [36.052760000000006, 136.70889000000003], [36.052690000000005, 136.70889000000003], [36.05266, 136.70884], [36.052670000000006, 136.70876], [36.05274, 136.70870000000002], [36.05304, 136.70857], [36.05341, 136.70838], [36.053520000000006, 136.70823000000001], [36.053610000000006, 136.70805000000001], [36.05377, 136.70763000000002], [36.053810000000006, 136.70756], [36.05386, 136.70753000000002], [36.05391, 136.70753000000002], [36.054100000000005, 136.70757], [36.054170000000006, 136.70755], [36.0542, 136.7075], [36.054190000000006, 136.70742], [36.054140000000004, 136.70736000000002], [36.054050000000004, 136.70733], [36.05375, 136.70724], [36.05357, 136.70715], [36.053520000000006, 136.70716000000002], [36.053450000000005, 136.70725000000002], [36.05341, 136.70736000000002], [36.053430000000006, 136.70757], [36.053450000000005, 136.70768], [36.053430000000006, 136.70775], [36.05335, 136.70796], [36.05324, 136.70812], [36.0531, 136.70823000000001], [36.053020000000004, 136.70829], [36.052890000000005, 136.70832000000001], [36.052730000000004, 136.7083], [36.052400000000006, 136.70816000000002], [36.052310000000006, 136.70814000000001], [36.05207, 136.70821], [36.05185, 136.7083], [36.05169, 136.70838], [36.051640000000006, 136.70843000000002], [36.051610000000004, 136.70852000000002], [36.051610000000004, 136.70861000000002], [36.05167, 136.70872], [36.05169, 136.70879000000002], [36.05169, 136.70894], [36.05165, 136.70917], [36.0516, 136.70941000000002], [36.05158, 136.7098], [36.05158, 136.71008], [36.051610000000004, 136.71039000000002], [36.051640000000006, 136.71073], [36.051640000000006, 136.71089], [36.05162, 136.71096], [36.051570000000005, 136.71099], [36.05153, 136.71098], [36.05142, 136.71074000000002], [36.05096, 136.70929], [36.050830000000005, 136.70891], [36.05078, 136.70885], [36.050630000000005, 136.70876], [36.05051, 136.70879000000002], [36.05019, 136.70894], [36.04995, 136.70904000000002], [36.04981, 136.70901], [36.049670000000006, 136.7089], [36.049490000000006, 136.70869000000002], [36.049420000000005, 136.70850000000002], [36.04941, 136.70823000000001], [36.04937, 136.70767], [36.049440000000004, 136.7074], [36.049530000000004, 136.7073], [36.04957, 136.70725000000002], [36.04961, 136.70712], [36.04959, 136.70699000000002], [36.049490000000006, 136.70683000000002], [36.04934, 136.70655000000002], [36.049130000000005, 136.70616], [36.04903, 136.70585], [36.04899, 136.70555000000002], [36.04903, 136.70533], [36.04927, 136.70459000000002], [36.04927, 136.70438000000001], [36.049130000000005, 136.70383], [36.04898, 136.70347], [36.048930000000006, 136.70339], [36.04876, 136.70311], [36.048080000000006, 136.70179000000002], [36.04787, 136.70146], [36.047830000000005, 136.70136000000002], [36.0478, 136.7012], [36.047810000000005, 136.70089000000002], [36.04782, 136.70057], [36.04778, 136.70038000000002], [36.047720000000005, 136.70028000000002], [36.047610000000006, 136.70019000000002], [36.04749, 136.70001000000002], [36.04739, 136.69946000000002], [36.04728, 136.69923], [36.04703, 136.69891], [36.0469, 136.69878], [36.046800000000005, 136.69872], [36.04661, 136.69867000000002], [36.046380000000006, 136.69863], [36.04596, 136.69855], [36.045820000000006, 136.69847000000001], [36.04576, 136.69841000000002], [36.045440000000006, 136.69793], [36.04527, 136.69775], [36.045010000000005, 136.69750000000002], [36.044740000000004, 136.69729], [36.04455, 136.69715000000002], [36.044430000000006, 136.69712], [36.04435, 136.69713000000002], [36.04417, 136.69716000000003], [36.04402, 136.69712], [36.04384, 136.69699], [36.04365, 136.69676], [36.04345, 136.69661000000002], [36.04323, 136.69648], [36.04308, 136.69646], [36.042950000000005, 136.69645], [36.04285, 136.69641000000001], [36.042790000000004, 136.69633000000002], [36.04258, 136.69590000000002], [36.04233, 136.6954], [36.04189, 136.69471000000001], [36.041470000000004, 136.69418000000002], [36.04111, 136.69385], [36.040490000000005, 136.69330000000002], [36.040440000000004, 136.69326], [36.040350000000004, 136.69320000000002], [36.040200000000006, 136.69302000000002], [36.04012, 136.69293000000002], [36.040020000000005, 136.69287], [36.03985, 136.6928], [36.03972, 136.69262], [36.03951, 136.69231000000002], [36.03924, 136.69197], [36.038850000000004, 136.69151000000002], [36.03873, 136.69134000000003], [36.03871, 136.69128], [36.03871, 136.69119], [36.038900000000005, 136.69087000000002], [36.03898, 136.69073], [36.038970000000006, 136.69065], [36.03889, 136.69053000000002], [36.03877, 136.69036], [36.0384, 136.68988000000002], [36.03826, 136.68959], [36.03783, 136.68838000000002], [36.037440000000004, 136.68727], [36.0373, 136.68686000000002], [36.03725, 136.68678], [36.03707, 136.6866], [36.036880000000004, 136.68647], [36.03663, 136.68618], [36.03651, 136.68595000000002], [36.036440000000006, 136.68578000000002], [36.03631, 136.68549000000002], [36.03623, 136.68537], [36.036030000000004, 136.68499], [36.03593, 136.68473], [36.03578, 136.68445], [36.035720000000005, 136.68437], [36.035650000000004, 136.68433000000002], [36.03537, 136.68425000000002], [36.03495, 136.6841], [36.03481, 136.68394], [36.03464, 136.68369], [36.034330000000004, 136.6832], [36.03408, 136.68281000000002], [36.03379, 136.68231], [36.03354, 136.68192000000002], [36.0334, 136.68178], [36.033240000000006, 136.6817], [36.03307, 136.68162], [36.0328, 136.68137000000002]]"
災害復旧工事による通行止めについて,南条郡南越前町広野,災害,,全面通行止,20250519090000,20250829170000,,,全面通行止,"[[35.72054, 136.27114], [35.720290000000006, 136.27127000000002], [35.720150000000004, 136.2714], [35.71996, 136.27162], [35.719770000000004, 136.27190000000002], [35.719640000000005, 136.27203], [35.719460000000005, 136.27217000000002], [35.71907, 136.27239], [35.71902, 136.27246000000002], [35.719010000000004, 136.27254000000002], [35.71904, 136.27268], [35.719080000000005, 136.27272000000002], [35.719170000000005, 136.27278], [35.71941, 136.27280000000002], [35.719930000000005, 136.27285], [35.72007, 136.27292], [35.72019, 136.27301], [35.72028, 136.27314], [35.72037, 136.27341], [35.72039, 136.27382], [35.72036, 136.27424000000002], [35.72034, 136.2744], [35.7203, 136.27453], [35.720200000000006, 136.27472], [35.72008, 136.27489], [35.719930000000005, 136.27504000000002], [35.719800000000006, 136.2751], [35.719660000000005, 136.27513000000002], [35.71949, 136.27513000000002], [35.71927, 136.27512000000002], [35.718970000000006, 136.27505000000002], [35.718720000000005, 136.27496000000002], [35.71858, 136.27503000000002]]"
トンネル補修工事における全面通行止めについて,南条郡南越前町山中,工事,,全面通行止,20250519090000,20251112170000,,土、日、夜間開放,全面通行止,"[[35.76451, 136.1183], [35.761030000000005, 136.11437], [35.76023, 136.11347], [35.75967, 136.11292], [35.759100000000004, 136.11222], [35.75892, 136.11199000000002], [35.758770000000005, 136.11187], [35.758610000000004, 136.11175], [35.75815, 136.11141], [35.758, 136.1113], [35.75762, 136.11116], [35.757360000000006, 136.11110000000002], [35.75712, 136.11108000000002], [35.75694, 136.11108000000002], [35.756220000000006, 136.11115], [35.755810000000004, 136.11123]]"
工事による通行規制,今立郡池田町魚見,工事,,全面通行止,20240426160000,,20230428160018,南越前町側から町境までの冬期間通行止めは解除しますが、池田町側は工事のため通り抜けできません。,全面通行止,"[[35.84423, 136.27166], [35.844210000000004, 136.27136000000002], [35.844170000000005, 136.27113], [35.844170000000005, 136.27095], [35.8442, 136.2706], [35.844190000000005, 136.27049000000002], [35.844120000000004, 136.27031000000002], [35.84405, 136.27016], [35.84393, 136.26978], [35.843810000000005, 136.26936], [35.843700000000005, 136.26907], [35.84357, 136.2688], [35.84349, 136.26860000000002], [35.84351, 136.26825000000002], [35.843520000000005, 136.26812], [35.84351, 136.26803], [35.843360000000004, 136.26778000000002], [35.84319, 136.2675], [35.843070000000004, 136.26700000000002], [35.84302, 136.26682000000002], [35.84297, 136.26671000000002], [35.842800000000004, 136.26644000000002], [35.84254, 136.26613], [35.842420000000004, 136.26598], [35.842360000000006, 136.26586], [35.84225, 136.26566000000003], [35.84214, 136.26549], [35.842040000000004, 136.26536000000002], [35.842020000000005, 136.26529000000002], [35.842020000000005, 136.26516], [35.842040000000004, 136.26498], [35.84199, 136.26481], [35.841930000000005, 136.26474000000002], [35.84189000000001, 136.26471], [35.84178, 136.26468], [35.84174, 136.26464], [35.841730000000005, 136.26462], [35.84176, 136.26443], [35.84178, 136.26432], [35.84178, 136.26417], [35.84174, 136.26399], [35.841660000000005, 136.26369000000003], [35.841640000000005, 136.26344], [35.841640000000005, 136.26315000000002], [35.841590000000004, 136.26312000000001], [35.84152, 136.26314000000002], [35.84132, 136.26345], [35.84127, 136.26355], [35.84125, 136.26373], [35.84127, 136.2641], [35.84125, 136.26422000000002], [35.841210000000004, 136.26430000000002], [35.84116, 136.26433], [35.841120000000004, 136.26433], [35.840880000000006, 136.26420000000002], [35.84078, 136.26418], [35.84067, 136.26420000000002], [35.84029, 136.26434], [35.84017, 136.26440000000002], [35.840090000000004, 136.26445], [35.84, 136.26445], [35.83995, 136.26446], [35.83988, 136.26451], [35.83977, 136.26462], [35.83972, 136.2647], [35.83966, 136.26488], [35.839600000000004, 136.26502000000002], [35.839510000000004, 136.26517], [35.839400000000005, 136.26529000000002], [35.839290000000005, 136.26534], [35.839200000000005, 136.26536000000002], [35.8391, 136.26538000000002], [35.83908, 136.26544], [35.839130000000004, 136.26555000000002], [35.839200000000005, 136.26563000000002], [35.8393, 136.2657], [35.83945000000001, 136.26569], [35.83961, 136.26566000000003], [35.83982, 136.26562], [35.84004, 136.26555000000002], [35.84015, 136.26553], [35.84033, 136.26557000000003], [35.84051, 136.26562], [35.84056, 136.26566000000003], [35.840630000000004, 136.2658], [35.840700000000005, 136.26585], [35.840770000000006, 136.26589], [35.840810000000005, 136.26594], [35.84082, 136.26600000000002], [35.840830000000004, 136.26622], [35.840700000000005, 136.26666], [35.84058, 136.26702], [35.84055, 136.26726000000002], [35.84056, 136.26733000000002], [35.84064, 136.26753000000002], [35.840770000000006, 136.26774], [35.84084, 136.26795], [35.84085, 136.26808], [35.840830000000004, 136.26824000000002], [35.840810000000005, 136.26842000000002], [35.840830000000004, 136.26856], [35.84084, 136.26862], [35.840830000000004, 136.26865], [35.8408, 136.26867000000001], [35.84078, 136.26866], [35.840740000000004, 136.26859000000002], [35.840720000000005, 136.26845], [35.840740000000004, 136.26813], [35.840720000000005, 136.268], [35.84066, 136.26788000000002], [35.84055, 136.26772], [35.8404, 136.26756], [35.84033, 136.26746], [35.84029, 136.26732], [35.840250000000005, 136.26691000000002], [35.84028, 136.26672000000002], [35.84028, 136.26662000000002], [35.84024, 136.26654000000002], [35.840090000000004, 136.26638], [35.84001, 136.26638], [35.83972, 136.26651], [35.83964, 136.26662000000002], [35.83955, 136.26680000000002], [35.839470000000006, 136.26685], [35.839240000000004, 136.26686], [35.83912, 136.26684], [35.83881, 136.26672000000002], [35.83849, 136.26678], [35.838370000000005, 136.26676], [35.838150000000006, 136.26664000000002], [35.83791, 136.26656], [35.837860000000006, 136.26653000000002], [35.837770000000006, 136.26645000000002], [35.83766, 136.26633], [35.83746, 136.26622], [35.837270000000004, 136.26606], [35.837120000000006, 136.26578], [35.83706, 136.26558], [35.83701000000001, 136.26546000000002], [35.83691, 136.26535], [35.83659, 136.26520000000002], [35.83643, 136.26510000000002], [35.8363, 136.26497], [35.836110000000005, 136.26478], [35.835980000000006, 136.26469], [35.83585, 136.26456000000002], [35.835730000000005, 136.26437], [35.83559, 136.26416], [35.83543, 136.26397], [35.835260000000005, 136.26377000000002], [35.83522, 136.26363], [35.8352, 136.26329], [35.83516, 136.26316], [35.835190000000004, 136.26288000000002], [35.835100000000004, 136.26258], [35.83511, 136.26254], [35.835150000000006, 136.26251000000002], [35.83525, 136.26249], [35.835460000000005, 136.26255], [35.835620000000006, 136.26265], [35.83572, 136.26276000000001], [35.83581, 136.26274], [35.83587, 136.26274], [35.8359, 136.26276000000001], [35.836000000000006, 136.26295000000002], [35.836090000000006, 136.26298], [35.836240000000004, 136.26295000000002], [35.83635, 136.26286000000002], [35.836420000000004, 136.26271], [35.83648, 136.26265], [35.83659, 136.26257], [35.836710000000004, 136.26242000000002], [35.83675, 136.26232000000002], [35.83675, 136.26216000000002], [35.83672, 136.26206000000002], [35.83668, 136.26198000000002], [35.836510000000004, 136.26187000000002], [35.836310000000005, 136.26176], [35.83606, 136.26157], [35.83605, 136.26154000000002], [35.83605, 136.26149], [35.836090000000006, 136.26144000000002], [35.83617, 136.26139], [35.83626, 136.26136000000002], [35.83643, 136.26139], [35.83668, 136.26136000000002], [35.83672, 136.26134000000002], [35.83675, 136.2613], [35.83672, 136.26117000000002], [35.836650000000006, 136.26096], [35.836650000000006, 136.26089000000002], [35.836670000000005, 136.26084], [35.836850000000005, 136.26085], [35.83691, 136.26080000000002], [35.836980000000004, 136.26061], [35.837030000000006, 136.26051], [35.8371, 136.26047], [35.837450000000004, 136.26056], [35.837500000000006, 136.26059], [35.837540000000004, 136.26075], [35.83758, 136.26088000000001], [35.837680000000006, 136.26106000000001], [35.837830000000004, 136.26146], [35.837880000000006, 136.26167], [35.837950000000006, 136.26179000000002], [35.838, 136.26182], [35.83803, 136.26181], [35.83807, 136.26174], [35.838060000000006, 136.26164], [35.838060000000006, 136.26141], [35.83811, 136.26128], [35.838210000000004, 136.26101], [35.83836, 136.26072000000002], [35.83843, 136.26067], [35.83861, 136.26064000000002], [35.83867, 136.26065], [35.838820000000005, 136.26071000000002], [35.83896, 136.26081000000002], [35.839000000000006, 136.26082000000002], [35.83903, 136.26081000000002], [35.839130000000004, 136.26075], [35.839290000000005, 136.26069], [35.839400000000005, 136.2607], [35.83954, 136.26076], [35.839580000000005, 136.26076], [35.83963, 136.26072000000002], [35.83968, 136.26061], [35.839710000000004, 136.26047], [35.83966, 136.26035000000002], [35.83955, 136.26026000000002], [35.839360000000006, 136.26000000000002], [35.839200000000005, 136.25991000000002], [35.83906, 136.25977], [35.83901, 136.25967], [35.83892, 136.25957000000002], [35.838820000000005, 136.25947000000002], [35.83879, 136.25936000000002], [35.83879, 136.25922], [35.838770000000004, 136.25909000000001], [35.8387, 136.25894000000002], [35.838620000000006, 136.25887]]"
トンネル補修工事に伴う通行止め,大飯郡高浜町神野,工事,トンネル盤ぶくれ対策工事に伴う,全面通行止,20250324080000,,,,全面通行止,"[[35.51735, 135.49752], [35.517100000000006, 135.49782000000002], [35.516870000000004, 135.49805], [35.51677, 135.49812], [35.516670000000005, 135.49818000000002], [35.516510000000004, 135.49832], [35.51615, 135.49862000000002], [35.515980000000006, 135.49874], [35.515620000000006, 135.49886], [35.515330000000006, 135.49894], [35.515100000000004, 135.49896], [35.51469, 135.49898000000002], [35.514160000000004, 135.49902], [35.51397, 135.49903], [35.51381, 135.49899000000002], [35.51362, 135.49893], [35.513510000000004, 135.49890000000002], [35.51342, 135.49891000000002], [35.513090000000005, 135.49895], [35.51274, 135.49901], [35.51239, 135.49915000000001], [35.512040000000006, 135.49927000000002], [35.51118, 135.49958], [35.5079, 135.50073], [35.50768, 135.5008], [35.507560000000005, 135.50087000000002], [35.50726, 135.50117], [35.506980000000006, 135.50157000000002], [35.5069, 135.50174], [35.506890000000006, 135.50201], [35.50688, 135.50229000000002], [35.506820000000005, 135.50272]]"
橋梁架け替え工事に伴う通行規制,小浜市一番町,工事,大手橋架け替え工事に伴う車両通行止め,全面通行止,20220716060000,,,"・徒歩・自転車での通行については仮歩道橋を利用することにより通り抜け可能です。
・迂回路等の詳細については下記URLを参照ください。
URL：https://www.pref.fukui.lg.jp/doc/obama-doboku/douro/nishiduoote.html",全面通行止,"[[35.5017, 135.74672], [35.50233, 135.7469], [35.50302, 135.74706]]"
